country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","02-07-2026 14:00:00",28.3419248,77.319699,PM10,50,275,151
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","02-07-2026 14:00:00",28.3419248,77.319699,NH3,4,5,5
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","02-07-2026 14:00:00",28.3419248,77.319699,CO,47,64,54
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","02-07-2026 14:00:00",28.806223,76.141105,PM2.5,134,169,143
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","02-07-2026 14:00:00",28.806223,76.141105,PM10,88,101,91
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","02-07-2026 14:00:00",28.806223,76.141105,OZONE,10,21,16
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","02-07-2026 14:00:00",28.593883,76.270653,SO2,9,11,10
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","02-07-2026 14:00:00",28.376058,77.315741,PM2.5,61,321,179
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","02-07-2026 14:00:00",28.4417,77.3217,PM10,43,216,101
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","02-07-2026 14:00:00",28.498571,77.26484,OZONE,6,46,26
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","02-07-2026 14:00:00",28.647622,77.315809,NO2,9,112,32
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","02-07-2026 14:00:00",28.695381,77.181665,NH3,7,12,9
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","02-07-2026 14:00:00",28.695381,77.181665,OZONE,2,24,13
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","02-07-2026 14:00:00",28.563262,77.186937,PM10,16,150,94
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","02-07-2026 14:00:00",28.563262,77.186937,NO2,23,58,32
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","02-07-2026 14:00:00",28.563262,77.186937,NH3,5,6,6
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","02-07-2026 14:00:00",28.5710274,77.0719006,NO2,15,42,23
India,Delhi,Delhi,"ITO, Delhi - CPCB","02-07-2026 14:00:00",28.628624,77.24106,PM2.5,18,118,55
India,Delhi,Delhi,"ITO, Delhi - CPCB","02-07-2026 14:00:00",28.628624,77.24106,PM10,21,129,82
India,Delhi,Delhi,"ITO, Delhi - CPCB","02-07-2026 14:00:00",28.628624,77.24106,NO2,3,92,58
India,Delhi,Delhi,"ITO, Delhi - CPCB","02-07-2026 14:00:00",28.628624,77.24106,CO,43,57,50
India,Delhi,Delhi,"ITO, Delhi - CPCB","02-07-2026 14:00:00",28.628624,77.24106,OZONE,17,19,18
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","02-07-2026 14:00:00",28.5627763,77.1180053,PM10,9,150,91
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","02-07-2026 14:00:00",28.60909,77.0325413,PM10,42,119,70
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","02-07-2026 14:00:00",28.530785,77.271255,NH3,4,10,6
India,Delhi,Delhi,"Rohini, Delhi - DPCC","02-07-2026 14:00:00",28.732528,77.11992,OZONE,3,14,8
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","02-07-2026 14:00:00",28.672342,77.31526,PM2.5,19,114,54
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","02-07-2026 14:00:00",28.672342,77.31526,PM10,23,143,106
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","02-07-2026 14:00:00",28.672342,77.31526,NO2,27,55,39
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","02-07-2026 14:00:00",28.672342,77.31526,OZONE,1,22,7
